/		CG-6 Survey
/		Survey Name:	1089-1253
/		Instrument Serial Number:	000000022090460
/		Created:	2023-05-17 05:14:12
/
/		CG-6 Calibration
/		Operator:	DANIL
/		Gcal1 [mGal]:	8008.163000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030855
/		Y Scale [arc-sec/ADU]:	0.031483
/		X Offset [ADU]:	-190283.000000
/		Y Offset [ADU]:	-147195.000000
/		Temperature Coefficient [mGal/mK]:	-0.130000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.043104
/		Drift Zero Time:	2022-08-22 14:00:27
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1089	2023-05-17	05:14:12	4098.6206	1	0.0174	0.0023	4087.2801	-1.4	1.6	-2.3117	0.1056	0.0001	-0.3012	11.5361	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:15:12	4098.6226	1	0.0120	0.0015	4087.2824	-2.5	2.2	-2.3218	0.1057	0.0003	-0.3018	11.5361	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:16:12	4098.6207	1	0.0160	0.0021	4087.2810	-0.6	1.8	-2.3282	0.1057	0.0001	-0.3022	11.5362	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:17:12	4098.6223	1	0.0119	0.0015	4087.2827	1.1	1.3	-2.3251	0.1058	0.0001	-0.3024	11.5362	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:18:12	4098.6209	1	0.0187	0.0024	4087.2818	-2.2	2.0	-2.3317	0.1059	0.0001	-0.3031	11.5362	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:19:12	4098.6219	1	0.0126	0.0016	4087.2831	-2.5	1.8	-2.3351	0.1060	0.0002	-0.3035	11.5362	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:20:12	4098.6200	1	0.0118	0.0015	4087.2814	-2.6	1.9	-2.3362	0.1060	0.0002	-0.3039	11.5363	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:21:12	4098.6204	1	0.0133	0.0017	4087.2822	-2.9	2.8	-2.3457	0.1061	0.0002	-0.3044	11.5363	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:22:12	4098.6198	1	0.0130	0.0017	4087.2819	-1.9	1.4	-2.3520	0.1061	0.0001	-0.3047	11.5363	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:23:12	4098.6199	1	0.0188	0.0024	4087.2824	-3.6	0.3	-2.3437	0.1062	0.0001	-0.3052	11.5364	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1253	2023-05-17	07:20:19	3947.3930	1	0.0071	0.0009	3936.0802	-1.4	4.5	-2.2980	0.0722	0.0003	-0.2996	11.5399	60	0.210	43.290495	77.326297	1380.00	43.290604	77.326294	1367.4	11011
1253	2023-05-17	07:21:19	3947.3924	1	0.0122	0.0016	3936.0805	-0.7	4.4	-2.3020	0.0716	0.0003	-0.2999	11.5399	60	0.210	43.290495	77.326297	1380.00	43.290787	77.326561	1367.3	11011
1253	2023-05-17	07:22:19	3947.3927	1	0.0129	0.0017	3936.0816	-2.1	5.1	-2.3142	0.0711	0.0004	-0.3003	11.5399	60	0.210	43.290495	77.326297	1380.00	43.290497	77.326157	1367.3	11011
1253	2023-05-17	07:23:19	3947.3922	1	0.0100	0.0013	3936.0821	-1.8	4.2	-2.3066	0.0705	0.0003	-0.3006	11.5400	60	0.210	43.290495	77.326297	1380.00	43.290642	77.326256	1368.3	11011
1253	2023-05-17	07:24:19	3947.3908	1	0.0099	0.0013	3936.0818	-1.5	3.8	-2.3149	0.0699	0.0002	-0.3011	11.5400	60	0.210	43.290495	77.326297	1380.00	43.290565	77.326157	1368.6	11011
1253	2023-05-17	07:25:19	3947.3907	1	0.0098	0.0013	3936.0826	-1.0	3.3	-2.3190	0.0693	0.0002	-0.3015	11.5400	60	0.210	43.290495	77.326297	1380.00	43.290737	77.326309	1369.2	11011
1253	2023-05-17	07:26:19	3947.3912	1	0.0102	0.0013	3936.0842	-3.3	3.3	-2.3228	0.0687	0.0003	-0.3021	11.5400	60	0.210	43.290495	77.326297	1380.00	43.290794	77.326515	1371.0	11011
1253	2023-05-17	07:27:19	3947.3924	1	0.0082	0.0011	3936.0863	-5.3	4.4	-2.3344	0.0681	0.0006	-0.3027	11.5401	60	0.210	43.290495	77.326297	1380.00	43.290401	77.326118	1370.5	11011
1253	2023-05-17	07:28:19	3947.3906	1	0.0085	0.0011	3936.0858	-4.2	3.6	-2.3331	0.0675	0.0004	-0.3033	11.5401	60	0.210	43.290495	77.326297	1380.00	43.290440	77.326080	1371.1	11011
