/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB-MEN3
/		Instrument Serial Number:	000000021090374
/		Created:	2023-04-26 05:21:07
/
/		CG-6 Calibration
/		Operator:	IIM
/		Gcal1 [mGal]:	7875.071000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030819
/		Y Scale [arc-sec/ADU]:	0.030822
/		X Offset [ADU]:	-209699.758131
/		Y Offset [ADU]:	-243152.772818
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.008170
/		Drift Zero Time:	2023-02-14 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2023-04-26	05:21:07	5613.4375	4	0.0145	0.0019	5614.0801	-1.6	-0.7	0.0140	-0.0670	0.0001	0.0021	-0.5778	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:22:07	5613.4381	4	0.0149	0.0019	5614.0807	-2.5	0.1	0.0183	-0.0668	0.0001	0.0019	-0.5778	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:23:07	5613.4375	4	0.0101	0.0013	5614.0803	-1.3	1.2	0.0122	-0.0667	0.0001	0.0016	-0.5778	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:24:07	5613.4379	4	0.0132	0.0017	5614.0805	-2.2	1.2	0.0082	-0.0665	0.0001	0.0016	-0.5778	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:25:07	5613.4363	4	0.0112	0.0014	5614.0791	-2.7	1.0	0.0152	-0.0663	0.0001	0.0012	-0.5778	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:26:07	5613.4368	4	0.0105	0.0014	5614.0794	-3.5	0.5	0.0114	-0.0662	0.0001	0.0013	-0.5778	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:27:07	5613.4375	4	0.0111	0.0014	5614.0800	-3.0	-0.2	0.0090	-0.0660	0.0001	0.0012	-0.5778	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:28:07	5613.4394	4	0.0113	0.0015	5614.0818	-1.8	-0.5	0.0091	-0.0658	0.0000	0.0012	-0.5778	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:29:07	5613.4369	4	0.0100	0.0013	5614.0792	-2.4	-1.0	0.0071	-0.0657	0.0001	0.0010	-0.5778	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:30:07	5613.4347	4	0.0141	0.0018	5614.0768	-1.8	-1.2	0.0057	-0.0655	0.0001	0.0012	-0.5779	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:31:07	5613.4369	4	0.0134	0.0017	5614.0790	-2.1	-0.6	0.0142	-0.0653	0.0001	0.0011	-0.5779	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:32:07	5613.4362	4	0.0111	0.0014	5614.0783	-1.5	-1.6	0.0048	-0.0652	0.0001	0.0009	-0.5779	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:33:07	5613.4369	4	0.0098	0.0013	5614.0787	-2.8	-0.8	0.0080	-0.0650	0.0002	0.0010	-0.5779	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:34:07	5613.4388	4	0.0114	0.0015	5614.0804	-1.7	-1.3	0.0094	-0.0648	0.0001	0.0010	-0.5779	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-26	05:35:07	5613.4370	4	0.0122	0.0016	5614.0785	-2.1	-1.2	0.0109	-0.0646	0.0001	0.0009	-0.5779	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
